,fibro,endo,immune
A1BG,2.0,1.0,0.0
A1CF,5.0,8.0,4.0
A2M,172.0,66.0,31.0
A2ML1,0.0,0.0,0.0
A4GALT,93.0,98.0,15.0
A4GNT,0.0,0.0,0.0
AA06,0.0,0.0,0.0
AAAS,48.0,34.0,14.0
AACS,21.0,9.0,8.0
AACSP1,0.0,0.0,0.0
AADAC,1.0,0.0,0.0
AADACL2,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACP1,1.0,0.0,0.0
AADAT,6.0,1.0,1.0
AAED1,29.0,34.0,16.0
AAGAB,34.0,31.0,7.0
AAK1,57.0,38.0,28.0
AAMDC,34.0,45.0,9.0
AAMP,81.0,69.0,27.0
AANAT,0.0,0.0,0.0
AAR2,39.0,34.0,11.0
AARD,0.0,0.0,0.0
AARS,140.0,90.0,24.0
AARS2,4.0,5.0,1.0
AARSD1,2.0,0.0,1.0
AASDH,8.0,5.0,5.0
AASDHPPT,31.0,33.0,10.0
AASS,6.0,9.0,0.0
AATBC,0.0,0.0,0.0
AATF,76.0,63.0,20.0
AATK,0.0,6.0,6.0
ABAT,11.0,6.0,4.0
ABCA1,56.0,5.0,61.0
ABCA10,2.0,0.0,0.0
ABCA11P,1.0,1.0,0.0
ABCA12,0.0,0.0,0.0
ABCA13,0.0,0.0,0.0
ABCA17P,0.0,0.0,0.0
ABCA2,14.0,7.0,3.0
ABCA3,4.0,17.0,3.0
ABCA4,8.0,2.0,0.0
ABCA5,3.0,5.0,13.0
ABCA6,3.0,0.0,0.0
ABCA7,2.0,3.0,6.0
ABCA8,20.0,1.0,0.0
ABCA9,2.0,0.0,0.0
ABCB1,1.0,8.0,2.0
ABCB10,18.0,11.0,3.0
ABCB11,0.0,0.0,0.0
ABCB4,1.0,0.0,4.0
ABCB5,0.0,0.0,0.0
ABCB6,3.0,1.0,0.0
ABCB7,17.0,9.0,4.0
ABCB8,14.0,10.0,7.0
ABCB9,6.0,3.0,1.0
ABCC1,38.0,22.0,22.0
ABCC10,6.0,7.0,11.0
ABCC11,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0
ABCC13,0.0,1.0,0.0
ABCC2,0.0,0.0,0.0
ABCC3,7.0,1.0,10.0
ABCC4,12.0,9.0,18.0
ABCC5,24.0,21.0,23.0
ABCC6,0.0,0.0,0.0
ABCC6P1,0.0,0.0,0.0
ABCC6P2,0.0,0.0,0.0
