,immune,endo,fibro,classic,basal
AL627309.1,23.0,10.0,7.0,77.0,3.0
AP006222.2,128.0,148.0,178.0,219.0,9.0
RP11-206L10.3,13.0,9.0,5.0,38.0,2.0
RP11-206L10.2,3.0,8.0,5.0,14.0,0.0
RP11-206L10.9,3.0,7.0,8.0,22.0,1.0
LINC00115,35.0,36.0,27.0,98.0,1.0
FAM41C,17.0,14.0,9.0,45.0,0.0
RP11-54O7.3,1.0,5.0,10.0,3.0,0.0
SAMD11,12.0,27.0,84.0,17.0,0.0
NOC2L,305.0,533.0,300.0,932.0,41.0
KLHL17,12.0,19.0,14.0,57.0,2.0
PLEKHN1,15.0,7.0,7.0,238.0,11.0
RP11-54O7.17,3.0,19.0,19.0,41.0,1.0
HES4,154.0,871.0,1019.0,1278.0,109.0
ISG15,3077.0,2719.0,2345.0,11695.0,247.0
AGRN,180.0,673.0,215.0,1780.0,90.0
RNF223,1.0,3.0,1.0,75.0,6.0
C1orf159,29.0,50.0,35.0,149.0,8.0
RP11-465B22.8,56.0,91.0,41.0,572.0,8.0
TTLL10-AS1,0.0,1.0,0.0,0.0,0.0
TTLL10,2.0,22.0,0.0,31.0,0.0
TNFRSF18,416.0,59.0,34.0,79.0,15.0
TNFRSF4,528.0,686.0,62.0,94.0,6.0
SDF4,764.0,1270.0,888.0,2468.0,123.0
B3GALT6,60.0,144.0,76.0,214.0,13.0
FAM132A,19.0,72.0,21.0,412.0,6.0
UBE2J2,262.0,390.0,248.0,853.0,40.0
SCNN1D,3.0,8.0,5.0,18.0,1.0
ACAP3,86.0,131.0,95.0,233.0,13.0
PUSL1,57.0,58.0,72.0,312.0,13.0
CPSF3L,250.0,369.0,283.0,894.0,43.0
GLTPD1,99.0,202.0,63.0,424.0,19.0
TAS1R3,13.0,3.0,0.0,15.0,0.0
DVL1,58.0,155.0,69.0,573.0,12.0
MXRA8,62.0,45.0,1603.0,182.0,13.0
AURKAIP1,1193.0,1366.0,894.0,4668.0,203.0
CCNL2,264.0,681.0,327.0,1124.0,36.0
RP4-758J18.2,68.0,137.0,52.0,255.0,9.0
MRPL20,1285.0,1645.0,1139.0,4603.0,166.0
RP4-758J18.13,1.0,4.0,3.0,14.0,1.0
ANKRD65,24.0,356.0,96.0,186.0,19.0
RP4-758J18.10,1.0,2.0,0.0,2.0,0.0
VWA1,109.0,2636.0,153.0,1274.0,78.0
ATAD3C,25.0,52.0,13.0,133.0,6.0
ATAD3B,88.0,106.0,54.0,277.0,12.0
ATAD3A,90.0,99.0,76.0,276.0,16.0
SSU72,1177.0,1400.0,859.0,4437.0,159.0
AL645728.1,12.0,3.0,1.0,9.0,0.0
C1orf233,25.0,13.0,22.0,47.0,0.0
RP11-345P4.9,21.0,64.0,42.0,114.0,5.0
MIB2,110.0,147.0,112.0,671.0,20.0
MMP23B,30.0,26.0,368.0,268.0,7.0
CDK11B,172.0,270.0,146.0,739.0,19.0
RP11-345P4.10,4.0,10.0,2.0,17.0,1.0
SLC35E2B,131.0,202.0,120.0,501.0,14.0
CDK11A,293.0,407.0,185.0,942.0,18.0
SLC35E2,6.0,10.0,6.0,24.0,3.0
NADK,189.0,275.0,116.0,841.0,10.0
GNB1,690.0,1598.0,667.0,2572.0,117.0
RP1-140A9.1,2.0,4.0,1.0,9.0,0.0
TMEM52,6.0,20.0,8.0,84.0,3.0
C1orf222,0.0,11.0,4.0,4.0,0.0
RP11-547D24.1,0.0,11.0,1.0,8.0,0.0
GABRD,4.0,174.0,28.0,7.0,0.0
PRKCZ,38.0,71.0,27.0,371.0,17.0
RP5-892K4.1,5.0,3.0,0.0,7.0,0.0
RP11-181G12.2,0.0,3.0,8.0,5.0,1.0
C1orf86,731.0,755.0,654.0,2576.0,92.0
AL590822.1,10.0,76.0,15.0,103.0,2.0
RP11-181G12.5,1.0,1.0,0.0,1.0,0.0
SKI,178.0,536.0,255.0,362.0,25.0
MORN1,7.0,25.0,6.0,63.0,3.0
RER1,1035.0,897.0,828.0,3703.0,138.0
PEX10,72.0,100.0,78.0,336.0,8.0
PLCH2,19.0,14.0,7.0,109.0,10.0
PANK4,40.0,84.0,59.0,104.0,7.0
RP3-395M20.12,63.0,39.0,53.0,190.0,3.0
TNFRSF14,586.0,514.0,207.0,1639.0,38.0
RP3-395M20.9,10.0,4.0,1.0,117.0,1.0
FAM213B,76.0,165.0,51.0,1156.0,38.0
MMEL1,24.0,59.0,21.0,610.0,8.0
TTC34,6.0,3.0,3.0,18.0,0.0
LINC00982,13.0,55.0,21.0,147.0,2.0
PRDM16,14.0,81.0,24.0,266.0,5.0
ARHGEF16,32.0,44.0,24.0,767.0,12.0
RP11-168F9.2,1.0,0.0,0.0,21.0,0.0
MEGF6,32.0,38.0,82.0,216.0,9.0
RP11-46F15.2,1.0,0.0,1.0,11.0,0.0
TPRG1L,58.0,143.0,76.0,496.0,16.0
WRAP73,94.0,163.0,76.0,277.0,13.0
TP73,11.0,1.0,2.0,11.0,3.0
TP73-AS1,26.0,87.0,46.0,109.0,11.0
SMIM1,41.0,50.0,35.0,240.0,10.0
LRRC47,117.0,240.0,126.0,430.0,19.0
CEP104,89.0,190.0,80.0,369.0,14.0
DFFB,30.0,37.0,10.0,76.0,4.0
C1orf174,171.0,194.0,121.0,450.0,18.0
LINC01134,0.0,1.0,1.0,32.0,0.0
AJAP1,1.0,22.0,4.0,0.0,0.0
NPHP4,14.0,39.0,21.0,64.0,5.0
KCNAB2,293.0,64.0,40.0,132.0,0.0
RPL22,11431.0,12507.0,8554.0,37465.0,1015.0
RP1-120G22.11,0.0,4.0,1.0,7.0,0.0
RNF207,39.0,102.0,64.0,526.0,12.0
ICMT,123.0,279.0,197.0,803.0,28.0
LINC00337,4.0,1.0,0.0,9.0,0.0
GPR153,13.0,7.0,75.0,132.0,14.0
ACOT7,152.0,122.0,74.0,499.0,32.0
RP1-202O8.3,6.0,4.0,1.0,24.0,0.0
HES2,7.0,7.0,3.0,54.0,20.0
ESPN,15.0,7.0,10.0,412.0,14.0
TNFRSF25,155.0,152.0,30.0,216.0,6.0
PLEKHG5,9.0,163.0,12.0,81.0,4.0
NOL9,70.0,160.0,74.0,223.0,9.0
ZBTB48,93.0,90.0,47.0,262.0,8.0
KLHL21,49.0,88.0,88.0,267.0,18.0
