,immune,classic,endo,basal
A1BG,11.0,5.0,0.0,0.0
A1BG-AS1,165.0,51.0,1.0,1.0
A1CF,15.0,456.0,0.0,1.0
A2M,6162.0,215.0,1680.0,19.0
A2M-AS1,71.0,9.0,3.0,1.0
A2ML1,12.0,237.0,1.0,98.0
A4GALT,10.0,104.0,21.0,33.0
AAAS,258.0,210.0,11.0,7.0
AACS,207.0,516.0,6.0,37.0
AADAC,2.0,107.0,3.0,13.0
AADACL2,0.0,0.0,0.0,0.0
AADACL3,1.0,1.0,0.0,0.0
AADAT,1.0,54.0,2.0,7.0
AAED1,411.0,159.0,23.0,14.0
AAGAB,494.0,655.0,11.0,35.0
AAK1,563.0,256.0,14.0,16.0
AAMDC,165.0,267.0,35.0,16.0
AAMP,766.0,1170.0,32.0,95.0
AANAT,0.0,0.0,0.0,0.0
AAR2,507.0,590.0,23.0,59.0
AARD,0.0,0.0,0.0,0.0
AARS,1166.0,1971.0,84.0,116.0
AARS2,432.0,268.0,19.0,26.0
AARSD1,47.0,48.0,1.0,3.0
AASDH,311.0,256.0,17.0,28.0
AASDHPPT,715.0,633.0,23.0,68.0
AASS,32.0,77.0,13.0,3.0
AATF,1577.0,1400.0,45.0,151.0
AATK,64.0,136.0,1.0,1.0
ABAT,309.0,320.0,5.0,12.0
ABCA1,2207.0,379.0,22.0,107.0
ABCA10,18.0,31.0,0.0,8.0
ABCA12,5.0,114.0,0.0,20.0
ABCA13,6.0,150.0,0.0,41.0
ABCA2,414.0,345.0,16.0,20.0
ABCA3,81.0,192.0,9.0,3.0
ABCA4,12.0,28.0,9.0,31.0
ABCA5,258.0,398.0,13.0,11.0
ABCA6,85.0,102.0,4.0,52.0
ABCA7,709.0,495.0,14.0,35.0
ABCA8,10.0,11.0,3.0,0.0
ABCA9,19.0,7.0,24.0,0.0
ABCB1,1038.0,801.0,43.0,0.0
ABCB10,353.0,229.0,6.0,23.0
ABCB11,0.0,10.0,0.0,0.0
ABCB4,115.0,50.0,3.0,1.0
ABCB5,5.0,4.0,0.0,0.0
ABCB6,14.0,38.0,2.0,1.0
ABCB7,608.0,391.0,15.0,34.0
ABCB8,160.0,213.0,8.0,10.0
ABCB9,67.0,208.0,4.0,12.0
ABCC1,692.0,432.0,20.0,57.0
ABCC10,367.0,232.0,13.0,21.0
ABCC11,14.0,15.0,0.0,1.0
ABCC12,0.0,0.0,0.0,0.0
ABCC2,21.0,42.0,3.0,0.0
ABCC3,522.0,1714.0,6.0,67.0
ABCC4,350.0,257.0,9.0,15.0
ABCC5,1378.0,485.0,37.0,105.0
ABCC6,22.0,31.0,1.0,0.0
ABCC8,5.0,370.0,0.0,0.0
ABCC9,4.0,39.0,23.0,0.0
ABCD1,291.0,143.0,9.0,20.0
ABCD2,276.0,15.0,4.0,0.0
ABCD3,418.0,862.0,23.0,51.0
ABCD4,403.0,397.0,25.0,15.0
ABCE1,1046.0,842.0,45.0,105.0
ABCF1,3243.0,2733.0,118.0,258.0
ABCF2,973.0,893.0,40.0,155.0
ABCF3,293.0,310.0,11.0,30.0
ABCG1,861.0,329.0,38.0,23.0
ABCG2,66.0,6.0,77.0,2.0
ABCG4,0.0,0.0,0.0,0.0
ABCG5,4.0,6.0,3.0,1.0
ABCG8,5.0,5.0,0.0,1.0
ABHD1,5.0,4.0,0.0,0.0
ABHD10,338.0,245.0,8.0,32.0
ABHD11,200.0,784.0,3.0,88.0
ABHD12,1145.0,936.0,21.0,67.0
ABHD12B,3.0,10.0,0.0,2.0
ABHD13,682.0,490.0,16.0,25.0
ABHD14A,296.0,262.0,10.0,16.0
ABHD14A-ACY1,0.0,0.0,0.0,0.0
ABHD14B,631.0,496.0,17.0,32.0
ABHD15,779.0,485.0,9.0,28.0
ABHD16A,54.0,39.0,0.0,3.0
ABHD16B,0.0,0.0,0.0,0.0
ABHD17A,224.0,72.0,2.0,1.0
ABHD17B,285.0,183.0,18.0,18.0
ABHD17C,41.0,842.0,8.0,56.0
ABHD2,3754.0,8197.0,68.0,355.0
ABHD3,391.0,338.0,8.0,13.0
ABHD4,180.0,360.0,14.0,19.0
ABHD5,232.0,213.0,15.0,25.0
ABHD6,348.0,129.0,24.0,6.0
ABHD8,105.0,57.0,3.0,3.0
ABI1,2208.0,1268.0,68.0,80.0
ABI2,652.0,1217.0,53.0,78.0
ABI3,1881.0,44.0,54.0,3.0
ABI3BP,9.0,196.0,10.0,12.0
ABL1,882.0,595.0,49.0,89.0
ABL2,1063.0,818.0,89.0,104.0
ABLIM1,2001.0,3416.0,175.0,205.0
ABLIM2,31.0,335.0,10.0,6.0
ABLIM3,69.0,833.0,26.0,47.0
ABO,3.0,27.0,2.0,0.0
ABR,2607.0,1530.0,50.0,95.0
ABRACL,1114.0,355.0,27.0,25.0
ABT1,443.0,359.0,21.0,26.0
ABTB1,562.0,517.0,23.0,29.0
ABTB2,51.0,305.0,1.0,18.0
ACAA1,1725.0,1093.0,56.0,87.0
ACAA2,1332.0,907.0,40.0,40.0
ACACA,350.0,771.0,15.0,91.0
ACACB,166.0,285.0,24.0,7.0
ACAD10,280.0,287.0,12.0,26.0
ACAD11,23.0,14.0,2.0,1.0
ACAD8,233.0,210.0,6.0,8.0
ACAD9,479.0,432.0,18.0,74.0
ACADL,3.0,6.0,0.0,2.0
ACADM,1003.0,724.0,37.0,59.0
ACADS,219.0,258.0,7.0,20.0
ACADSB,418.0,321.0,14.0,22.0
ACADVL,3344.0,3801.0,182.0,266.0
ACAN,3.0,30.0,0.0,7.0
ACAP1,2331.0,105.0,28.0,5.0
ACAP2,3262.0,1415.0,113.0,124.0
ACAP2-IT1,11.0,3.0,0.0,1.0
ACAP3,290.0,275.0,19.0,12.0
ACAT1,720.0,378.0,50.0,46.0
ACAT2,405.0,334.0,19.0,22.0
ACBD3,1689.0,2875.0,67.0,240.0
ACBD4,93.0,130.0,6.0,4.0
ACBD5,1037.0,1018.0,35.0,40.0
ACBD6,886.0,1065.0,48.0,194.0
ACBD7,4.0,13.0,0.0,0.0
ACCS,202.0,141.0,14.0,5.0
ACD,311.0,218.0,17.0,32.0
ACE2,0.0,194.0,0.0,14.0
