,UCSC_RefGene_Name
cg00002426,SLMAP
cg00003994,MEOX2
cg00006414,ZNF425
cg00006414,ZNF398
cg00007981,PANX1
cg00008713,IMPA2
cg00009407,TTC8
cg00011459,TMEM186
cg00011459,PMM2
cg00012199,ANG
cg00012199,RNASE4
cg00012386,JMJD4
cg00012386,SNAP47
cg00014085,ELMOD3
cg00014085,RETSAT
cg00014837,ACRBP
cg00016968,RHOC
cg00021527,TAF15
cg00022606,TBC1D20
cg00022866,CCDC88B
cg00024396,ELOVL5
cg00024812,ITGB1BP1
cg00024812,CPSF3
cg00025138,MAP3K9
cg00025991,DIP2C
cg00027083,EPB41L3
cg00027674,RAB38
cg00029826,CCNB1IP1
cg00029931,RPL36A
cg00030047,RNF207
cg00031162,TNFSF12
cg00032227,TMEM104
cg00032227,NAT9
cg00032666,MAMLD1
cg00034039,C9orf85
cg00035347,NT5C2
cg00035623,UBE2S
cg00037940,PIK3CB
cg00040861,LSM7
cg00040873,NDUFB10
cg00041575,C11orf21
cg00041575,TSPAN32
cg00043004,NOXO1
cg00043080,PLD3
cg00043080,C19orf47
cg00044245,EPHA7
cg00047050,CUL5
cg00047469,POLE3
cg00047469,C9orf43
cg00050312,PRKCA
cg00051623,CASP1
cg00053292,TACO1
cg00054706,C1D
cg00055233,RLN1
cg00056767,CCDC122
cg00058938,TTC9B
cg00059424,PES1
cg00059740,C7orf49
cg00059930,RB1
cg00060762,LEO1
cg00065408,CACNB3
cg00067471,ATP5D
cg00069261,CDR2
cg00072216,MXD4
cg00075967,STRA6
cg00076645,UBTD2
cg00077877,ASAP1
cg00078194,MDK
cg00078867,WAS
cg00079056,SPINK4
cg00079563,ARFGAP3
cg00080012,EED
cg00081935,TSPAN9
cg00081975,ABCC3
cg00083937,MAPK8IP2
cg00084687,GATAD1
cg00091693,KRT20
cg00094319,PABPC3
cg00094851,KIF3C
cg00095674,PLEKHO1
cg00096922,DLX5
cg00097536,ZFP36L2
cg00098239,PNPLA6
cg00103783,MPDU1
cg00105253,NUDT14
cg00105470,C1orf35
cg00107187,TMEM179
cg00107488,COMT
cg00107488,TXNRD2
cg00107632,PGM2
cg00112517,PPP1R1B
cg00113951,CABP1
cg00115714,AMD1
cg00116234,ADAMTSL1
cg00116838,RTN2
cg00117172,RUNX3
cg00119079,LAMP3
cg00121158,KDM4C
cg00121640,ASTN2
cg00121904,MAOB
cg00123035,RFX5
cg00126034,WNT3
cg00126698,BTK
cg00128197,HSD17B10
cg00128560,TIGD7
cg00128877,MKNK1
cg00129774,CDK2
cg00131557,DNAJC15
cg00132141,CTNNA3
cg00133909,CD276
cg00134539,UBASH3A
cg00136105,GNPTAB
cg00136736,THOC5
cg00138126,PMEPA1
cg00141162,HCLS1
cg00141845,UPRT
cg00143376,NMUR1
cg00143998,HIST3H2BB
cg00145348,APEX2
cg00146096,FANCF
cg00149976,MGLL
cg00151234,PGK1
cg00151607,TRAPPC2L
cg00151607,GALNS
cg00155167,VPS13B
cg00155485,MED13L
cg00155609,PRDX2
cg00156216,APLP2
cg00156744,STK10
cg00158308,OXGR1
cg00160914,DDX20
cg00162401,GSTA4
cg00162643,DDX58
cg00164898,MAPK11
cg00165981,COL4A3BP
cg00165981,POLK
cg00167504,BLVRA
cg00168082,ABL1
cg00168785,WDSUB1
cg00168942,GJD4
cg00171126,WRB
cg00171161,NUDT9
cg00174901,PALM
cg00176210,ANK1
cg00176879,VPS16
cg00176879,PTPRA
cg00177013,ARFRP1
cg00177013,ZGPAT
cg00177698,PNPO
cg00177923,LEPROTL1
cg00178790,RNMT
cg00179446,UPF3B
cg00180012,LACE1
cg00180631,MTM1
cg00183916,HS3ST3B1
cg00184884,SFI1
cg00184893,ALOXE3
cg00185103,ZNF45
cg00186141,PODXL
cg00186701,TSPYL5
cg00186954,ST5
cg00187380,HOXC5
cg00187686,TCN1
cg00191052,CHST7
cg00194146,GFOD1
cg00197381,FAM53C
cg00197641,MRPL52
cg00199549,MCM5
cg00200063,USP32
cg00201234,FBLN2
cg00202702,C11orf70
cg00204262,ECH1
cg00206052,POLL
cg00208830,LAMC2
cg00208967,OLFM2
cg00209066,BRD1
cg00210842,APAF1
cg00210842,IKBIP
cg00211661,ARAP1
cg00213044,KRT6A
cg00213331,SIL1
cg00213714,TRIM32
cg00215066,MYO9B
cg00216758,RASSF7
cg00217795,DIO2
cg00221494,FARP1
cg00223950,UBR4
cg00224234,GLOD4
cg00224234,RNMTL1
cg00224508,CDC42SE1
cg00224508,MLLT11
cg00226904,SERPINB5
cg00229387,TJAP1
cg00230271,TBCK
cg00230271,AIMP1
cg00230368,IGF2R
cg00230685,SCML1
cg00231140,ACAA2
cg00231644,TUBB2A
cg00233307,MAP4K1
cg00233307,EIF3K
cg00234616,TLX2
cg00236832,RARA
cg00237010,NINJ2
cg00239419,TUBD1
cg00239419,RPS6KB1
cg00239685,TTC21A
cg00239685,GORASP1
cg00240432,TWIST1
cg00240880,WISP2
cg00241355,GAPDH
cg00242839,RBM17
cg00245878,ZNF117
cg00247489,CR2
